,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
117,ewm_ewma14_com_diplo_bluesecondary_ua_pastcov_lag-1,21.0770902633667,154.9285774230957,170.57731169462204,428.4091739654541,690.8342796564102,1451.0672788619995,364.32740157842636,468.7458733490535,3749.966986792428
118,env_weather_pressure_msl_max_futcov_lag4,405.5064720660448,600.10461319983,637.8468951582909,449.53766417503357,206.39334321022034,503.7590366601944,465.79091903567314,466.9912776436125,3735.9302211489
119,env_weather_rain_sum_futcov_lag1,253.76436984539032,125.59167215228081,784.8349889405072,199.38052320480347,592.8643128871918,804.2479906082153,506.8982319831848,466.7974413745105,3734.379530996084
120,ewm_ewma14_act_total_damage_events_pastcov_lag-1,202.5760953426361,391.9290094990283,299.3230085372925,283.36198087595403,737.4081435203552,822.5155399441719,513.5158357620239,464.3756590687803,3715.0052725502424
121,env_weather_rain_sum_futcov_lag-2,101.2586407661438,599.1179219484329,1114.028366861865,613.519496679306,132.41535167396069,295.46757109835744,376.42493879795074,461.74746968943094,3693.9797575154475
122,env_weather_pressure_msl_min_futcov_lag1,778.1274962425232,282.17424747825135,320.586217334494,259.056209564209,510.1292374134064,845.3964357376099,216.5042935013771,458.85344818169585,3670.827585453567
123,env_weather_sunshine_duration_futcov_lag2,468.6628086566925,280.00465059280396,332.3476440310478,434.90101257618517,310.7374174594879,912.0267915725708,457.6125769019127,456.61327168438584,3652.9061734750867
124,env_weather_cloud_cover_mean_futcov_lag4,398.4541196003556,420.8954480737448,528.0239576162712,443.728639125824,544.1165912337601,345.265790104866,512.1796224433929,456.09488117117354,3648.7590493693883
125,env_weather_sunshine_duration_futcov_lag3,224.74321372807026,814.2848616745323,346.050087928772,341.5608216226101,301.1550796031952,406.97812315588817,753.4476499678567,455.4599768115607,3643.6798144924855
126,env_weather_et0_fao_evapotranspiration_futcov_lag6,519.3091150447726,440.58548080921173,382.4804615974426,407.68931721150875,572.4622949957848,382.15769028663635,474.8433239492588,454.21824055637364,3633.745924450989
127,env_weather_sunshine_duration_futcov_lag-2,186.4072800958529,703.2228055000305,431.99279557168484,467.54880322515965,621.4308671951294,196.20059180259705,572.3443803787231,454.16393196702535,3633.311455736203
128,env_k_max_futcov_lag2,728.9961663298309,141.87544059753418,128.26756811141968,722.2114338874817,288.2281942665577,961.3375413417816,190.39596928842366,451.61604483186136,3612.928358654891
129,env_weather_sunshine_duration_futcov_lag6,597.5112185142934,435.3720874786377,326.6720825433731,447.21565222740173,515.3299684524536,310.14886140823364,522.6679114224389,450.7025402924046,3605.6203223392367
130,ewm_expdecay7_com_restrictive_redsecondary_ua_pastcov_lag-1,372.19396018236876,380.1185843893327,760.5249280929565,399.8736562654376,434.29920361726545,543.5496819019318,254.7391541004181,449.3284526499587,3594.6276211996696
131,env_weather_et0_fao_evapotranspiration_futcov_lag5,742.1474103927612,287.52175609767437,404.9097902774811,595.9078767299652,389.2486347556114,493.5482127070427,214.08843595534563,446.7674452736974,3574.139562189579
132,ewm_expdecay7_com_escalationsignal_redsecondary_ua_pastcov_lag-1,563.3763317260891,323.6684412956238,491.721515879035,682.4858665466309,227.91195813193917,470.052663564682,361.51207896642154,445.8184080157745,3566.547264126196
133,env_weather_pressure_msl_min_futcov_lag2,499.3290911987424,690.4553310150804,396.3299698829651,203.20107580721378,179.4004813656211,495.5894367694855,644.6232914924622,444.1326682187958,3553.0613457503664
